CNAME,GES_FLD,RA,DEC,SNR,TEFF,E_TEFF,LOGG,E_LOGG,FEH,VRAD,E_VRAD,C1,NA1,MG1,AL1,SI1,SI2,CA1,SC1,SC2,TI1,TI2,V1,CR1,CR2,MN1,FE1,FE2,CO1,NI1,CU1,ZN1,Y2,ZR1,BA2,LA2,CE2,ND2,EU2
00014950-3015120,Blanco1,0.4562499999999923,-30.253333333332826,85.79485,5475.0,36.0,4.505417,0.08440687,-0.3129282,-39.33335,0.3661643,7.74,5.6,7.2799997,6.06,7.13,7.22,6.17,3.0439999999999996,3.1200001,4.67,4.67,3.79,5.19,5.3349996,5.01,7.15,7.13,4.6,5.87,3.84,4.324,1.57,,1.79,1.32,,1.47,
00005425-2938126,Blanco1,0.2260416666666628,-29.63683333333283,93.03520999999999,4799.0,16.0,2.815531,0.07362408,-0.45444524,-30.17125,0.36468244,7.98,5.81,7.34,6.23,7.25,7.1,6.19,2.77,3.19,4.74,4.8,3.79,5.13,5.095,4.78,6.99,7.04,4.67,5.85,3.71,4.3640003,1.68,2.17,1.5040001,0.5,,1.16,0.16
00081045-2950206,Blanco1,2.0435416666666324,-29.839055555555053,87.65559,4926.0,23.0,4.3841987,0.057017274000000014,-0.031518023,-27.2678,0.366021,8.5,6.3399997,7.47,6.49,7.47,,6.53,3.25,3.4,5.11,5.0,4.3399997,5.65,5.6549997,5.47,7.47,7.44,4.97,6.25,4.04,4.4639999999999995,2.14,2.7,1.9,,,1.85,0.59
00064158-3021195,Blanco1,1.673249999999972,-30.355416666666155,115.42678000000001,5627.0,6.0,4.0191483,0.0649271,0.26049268,-24.1577,0.36449495,8.43,6.47,7.7799997,6.7,7.76,7.52,6.7000003,3.35,3.77,5.19,5.28,4.36,5.84,5.73,5.68,7.77,7.76,5.15,6.54,4.46,4.8640003,2.36,,2.3300002,2.03,,1.71,0.6
00021288-2923254,Blanco1,0.5536666666666573,-29.390388888888396,131.31041000000002,4940.0,1.0,2.2950397000000002,0.0415834,-0.61236525,31.659302,0.36440563,7.49,5.66,7.25,6.02,7.09,6.94,6.01,2.45,2.8100002,4.51,4.52,3.52,4.93,4.9,4.57,6.84,6.87,4.42,5.61,3.48,4.1540003,1.21,1.7,1.3840001,0.1,0.86,0.73,-0.09
00033189-2943048,Blanco1,0.8828749999999851,-29.71799999999949,301.88742,6772.0,149.0,4.185617,0.09814643,-0.16896462,41.328102,0.40088567,7.96,6.03,7.3,6.18,7.27,7.3,6.1800003,4.414,2.89,4.74,4.51,4.757,5.19,5.4449997,5.18,7.2,7.21,4.82,5.96,4.04,4.224,1.87,,1.7240001,,,1.35,
00041660-3027160,Blanco1,1.0691666666666488,-30.454444444443933,169.3163,5014.0,11.0,2.3808993999999997,0.016008176000000002,-0.58802867,43.06075300000001,0.36426577,7.62,5.67,7.23,6.0099998,7.11,6.94,6.03,2.59,2.93,4.53,4.53,3.58,4.94,4.87,4.63,6.86,6.9,4.46,5.65,3.49,4.124,1.37,2.0,1.3940000000000001,0.47,0.93,0.89,-0.019999996000000003
00015564-3019113,Blanco1,0.4818333333333251,-30.31980555555504,90.240875,5686.0,31.0,4.0425096,0.019158898,0.033038332999999996,46.44255,0.36471358,8.25,6.12,7.63,6.3799996,7.51,7.43,6.54,3.1,3.44,4.97,4.9700003,4.06,5.68,5.54,5.34,7.52,7.45,4.89,6.26,4.21,4.6140003,2.02,,2.15,1.64,,1.39,
00010623-3014461,Blanco1,0.2759583333333287,-30.246138888888375,63.619106,5082.0,26.0,3.6767790000000002,0.100253016,-0.18017246,66.37935999999999,0.36517,,5.91,7.35,6.2599998,7.34,7.18,6.3,2.87,3.38,4.86,4.96,3.9099998,5.44,5.365,5.12,7.26,7.31,4.79,6.01,3.91,4.4639999999999995,1.99,,1.9599999,1.89,1.7900001,1.5,0.4
00065576-3036110,Blanco1,1.7323333333333042,-30.603055555555038,183.14317,6586.0,0.0,4.07,0.0,-0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06410539-1629003,Br25,100.2726249999983,-16.483249999999725,58.828617,4938.0,59.0,2.6475787,0.115881145,-0.31,112.357155,0.36543018,,5.85,7.2,6.07,7.23,7.24,6.091,2.904,3.01,4.56,4.74,3.617,5.22,5.225,4.93,7.06,7.14,4.53,5.82,3.83,4.324,1.88,2.33,1.944,0.83,1.74,1.5,0.22
06412105-1629038,Br25,100.33770833333165,-16.484388888888606,147.18837,4133.0,57.0,1.5102532,0.11321826,-0.46399999999999997,135.71443,0.36466828,,5.81,7.19,6.01,7.28,,6.011,2.8439999,2.94,4.57,4.68,3.727,5.11,5.1549997,4.97,6.94,7.03,4.63,6.01,3.89,4.294,1.75,1.98,1.9340000000000002,0.55,1.22,1.43,0.23
06411198-1628541,Br25,100.30008333333164,-16.481527777777494,47.79394,4960.0,67.0,2.6508602999999997,0.118853115,-0.25,147.20654,0.36598787,7.89,5.94,7.2,6.08,7.23,7.18,6.011,2.964,3.08,4.59,4.72,3.687,5.24,5.2949996,4.99,7.06,7.21,4.54,5.85,3.77,4.343999999999999,1.85,2.62,1.7540001,0.81,1.4200001,1.32,0.14
06570370+0819338,Br31,104.26541666666486,8.326055555555415,71.65179,5073.0,58.0,3.3729708,0.11539939,-0.115,45.921352,0.36508757,8.4,5.97,7.34,6.24,7.37,7.38,6.251,3.014,3.12,4.76,4.89,3.8569999999999998,5.39,5.355,5.17,7.26,7.35,4.7,6.03,3.91,4.553999999999999,2.03,2.64,2.124,1.18,1.8199999,1.67,0.29
06575127+0816241,Br31,104.46362499999826,8.273361111110972,87.02813,4245.0,58.0,2.1702967,0.11385563,-0.47200000000000003,77.404,0.36665964,,5.51,7.07,5.89,7.2,,5.9510000000000005,2.6839999999999997,2.87,4.31,4.59,3.5170002,5.06,5.535,4.91,6.76,7.05,4.58,5.87,4.04,3.7940001000000003,1.7,2.05,1.304,0.6,1.3299999,1.73,0.39
06580890+0825180,Br31,104.53708333333157,8.421666666666525,56.049213,4878.0,66.0,2.834901,0.11757817,-0.41,83.69965,0.36552504,8.22,5.79,7.18,6.02,7.17,7.08,6.011,2.8339999,2.88,4.5,4.63,3.5970001000000003,5.12,5.225,4.86,6.95,7.07,4.49,5.77,3.58,4.324,1.64,2.08,1.534,1.12,1.1500001,1.29,0.16
07163585-1313463,Br36,109.14937499999814,-13.229527777777552,58.64668,4537.0,68.0,2.759814,0.12360123,-0.82,11.75725,0.37440229999999997,,6.43,6.63,6.32,7.48,,6.6410003,3.764,1.96,4.77,4.06,4.197,5.34,6.205,4.59,6.32,7.37,4.34,5.47,3.11,,2.12,3.03,1.3640001,,,2.73,
07162171-1311239,Br36,109.09045833333151,-13.189972222222,40.440371999999996,5125.0,69.0,3.855717,0.12413640000000001,0.21,20.43205,0.3666156,8.78,6.46,7.75,6.63,7.72,7.31,6.601,3.2739999999999996,3.47,5.23,5.45,4.397,5.97,5.665,5.76,7.68,7.76,5.22,6.58,4.47,4.634000299999999,2.47,,2.2940001,,,1.81,0.69
07161684-1312060,Br36,109.07016666666479,-13.201666666666446,119.99099,4171.0,58.0,1.5458661,0.11379327,-0.31,61.58835,0.36521357,,5.87,7.35,6.29,7.43,,6.101,2.884,2.88,4.61,4.76,3.8070002,5.29,5.3149996,5.17,7.04,7.09,4.75,6.13,4.0,4.1140003,1.81,2.07,2.154,0.59,1.24,1.42,0.31
