CNAME,GES_FLD,RA,DEC,SNR,TEFF,E_TEFF,LOGG,E_LOGG,FEH,VRAD,E_VRAD,NA1,MG1,AL1,CA1,SC1,SC2,TI1,V1,CR1,CR2,FE1,FE2,CO1,NI1,Y2
00053673-2946290,Blanco1,1.403041666666643,-29.774722222221712,156.27115,4810.0,15.0,3.034378,0.071408585,0.014871951999999999,12.8693,0.36455035,6.23,7.5699997,6.48,6.4500003,3.06,3.46,5.01,4.2,5.57,5.55,7.46,7.48,5.02,6.25,2.05
00052015-3025219,Blanco1,1.3339583333333107,-30.42274999999949,98.94886,4742.0,24.0,2.0485234,0.048425723,-1.1374197,19.447001999999998,0.36462456,5.04,6.79,5.5099998,5.63,2.204,2.25,4.03,2.9399998,4.46,4.455,6.31,6.34,3.85,5.07,1.3
00035911-2945177,Blanco1,0.99629166666665,-29.754916666666173,35.05066,5016.0,32.0,3.093266,0.17652375,-0.35966936,24.708752,0.36662459999999997,5.71,7.49,6.1099997,6.2200003,2.89,3.14,4.79,3.84,5.19,5.19,6.98,7.08,4.62,5.8,1.79
06411039-1628006,Br25,100.29329166666494,-16.466833333333053,42.63679000000001,5047.0,67.0,2.7511053,0.12028525,-0.29,135.10493,0.36629876,5.97,7.35,6.14,6.1610002999999995,3.074,3.12,4.7,3.8270001000000002,5.4,5.2749996,7.14,7.19,4.67,5.92,1.72
06411368-1629164,Br25,100.30699999999833,-16.48788888888861,65.66838,4617.0,70.0,2.4299459999999997,0.12362407,-0.27,135.29695,0.3654151,5.87,7.29,6.12,6.051,2.924,3.1,4.61,3.7470002,5.34,5.345,7.1,7.19,4.68,5.97,1.95
06411680-1630203,Br25,100.31999999999832,-16.505638888888605,47.293304,4847.0,66.0,2.9278386000000003,0.11837225400000001,-0.23,135.6967,0.36614892,5.93,7.3,6.17,6.051,3.214,3.18,4.72,3.897,5.33,5.4649997,7.12,7.25,4.75,5.93,2.01
06412040-1628236,Br25,100.33499999999832,-16.473222222221946,14.324971,4779.0,74.0,2.6289701,0.12757647,0.01,136.21208000000001,0.37376252,6.36,7.58,6.53,6.401,3.4339999999999997,3.32,5.01,4.2269998,5.59,5.515,7.37,7.49,5.06,6.21,2.2
06411660-1628161,Br25,100.31916666666494,-16.47113888888861,18.606117,4777.0,71.0,2.6887972,0.12370424,-0.1,137.05055,0.3705476,5.93,7.43,6.27,6.421,3.114,3.21,4.82,4.107,5.53,5.375,7.26,7.32,4.93,6.02,1.94
06410841-1629195,Br25,100.285041666665,-16.488749999999722,54.22049000000001,4962.0,66.0,2.6509624,0.11750193,-0.281352,137.46303999999998,0.3660677,5.94,7.22,6.12,6.081,2.904,3.06,4.59,3.677,5.22,5.305,7.06,7.16,4.59,5.86,1.86
06574124+0812228,Br31,104.42183333333159,8.206333333333196,87.825874,4870.0,58.0,2.590064,0.11455263,-0.220948,51.2107,0.36479053,5.93,7.29,6.18,6.1410003,2.8739999999999997,3.04,4.62,3.687,5.25,5.245,7.11,7.2,4.61,5.93,1.84
06573578+0818017,Br31,104.39908333333156,8.300472222222083,40.833453999999996,4923.0,67.0,3.009077,0.11956272,-0.24,56.139603,0.36629948,5.9,7.38,6.13,6.171,2.984,2.95,4.62,3.687,5.38,5.5049996,7.13,7.23,4.59,5.96,1.86
06571311+0814188,Br31,104.30462499999823,8.238555555555418,74.52065,4753.0,58.0,2.6539516,0.115462475,-0.31,56.633152,0.36500934,5.86,7.21,6.1,6.101,2.8439999,2.96,4.61,3.717,5.24,5.285,7.06,7.14,4.6,5.89,1.89
06574379+0818049,Br31,104.43245833333157,8.30136111111097,77.10013000000002,4838.0,57.0,2.799169,0.11416094,-0.281,56.80495,0.3649643,5.9,7.24,6.08,6.091,2.944,3.0,4.61,3.717,5.25,5.265,7.1,7.18,4.59,5.9,1.87
06573260+0815157,Br31,104.38583333333159,8.25436111111097,93.95492,4873.0,58.0,2.5773982999999996,0.11404173,-0.31,56.8759,0.3647225,5.9,7.24,6.12,6.101,2.824,2.92,4.58,3.627,5.2,5.2549996,7.05,7.14,4.56,5.84,1.82
06572746+0819245,Br31,104.36441666666494,8.323472222222081,55.49164200000001,4753.0,59.0,2.5842294999999997,0.11687816,-0.33,57.186347999999995,0.3654196,5.85,7.22,6.11,6.1210002999999995,2.9139999999999997,2.85,4.6,3.657,5.24,5.245,7.07,7.14,4.59,5.87,1.84
06573703+0820333,Br31,104.4042916666649,8.342583333333192,58.63561,4958.0,59.0,3.0990999,0.11730648,-0.24,57.44655,0.36542067,5.97,7.29,6.15,6.2010000000000005,3.0439999999999996,3.05,4.71,3.8270001000000002,5.35,5.3149996,7.16,7.24,4.67,5.97,1.98
06574513+0814164,Br31,104.43804166666493,8.237888888888751,65.79574000000001,4866.0,58.0,2.930949,0.11557262,-0.27,57.921448,0.36519358,5.96,7.26,6.12,6.091,2.9539999999999997,3.01,4.61,3.727,5.26,5.375,7.09,7.18,4.61,5.9,1.87
06573630+0816561,Br31,104.40124999999823,8.282249999999861,89.328285,4925.0,58.0,2.6302687999999996,0.113980554,-0.307502,58.70835,0.3647614,5.87,7.25,6.07,6.1210002999999995,2.8539999999999996,2.91,4.56,3.647,5.19,5.205,7.04,7.12,4.54,5.82,1.8
06573668+0810127,Br31,104.40283333333154,8.170194444444308,80.52548,5010.0,58.0,2.9914134,0.114723295,-0.099,59.67005,0.36490917,6.1,7.37,6.21,6.271,2.9139999999999997,3.11,4.7,3.7470002,5.41,5.4649997,7.26,7.38,4.65,6.02,2.13
07155944-1306333,Br36,108.99766666666484,-13.10924999999978,74.302185,4471.0,58.0,2.049734,0.11545789999999999,-0.52,34.89705,0.36517146,5.72,7.07,5.99,5.801,2.634,2.72,4.36,3.467,4.97,4.995,6.83,6.97,4.47,5.72,1.65
07162830-1314583,Br36,109.11791666666485,-13.24952777777755,39.738182,5230.0,69.0,3.322243,0.12501206,-0.07,37.73915,0.37750587,7.21,7.22,6.7,7.371000299999999,4.263999999999999,2.77,5.78,5.2669997,6.19,5.7949996,7.2,7.81,5.27,6.19,2.15
07162402-1304135,Br36,109.10008333333151,-13.070416666666446,28.501482,4885.0,70.0,2.9502580000000003,0.12793179,-0.21,58.993202000000004,0.36848474,5.84,7.34,6.17,6.251,3.0939999,3.25,4.79,3.877,5.47,5.7749996,7.22,7.3,4.76,6.03,2.06
07163506-1314379,Br36,109.14608333333149,-13.243861111110885,68.00293,4782.0,58.0,2.6684074,0.11660999,-0.0899997,62.4948,0.3652807,6.03,7.42,6.36,6.171,3.0939999,3.08,4.78,3.907,5.46,5.415,7.26,7.34,4.83,6.1,2.01
07161810-1309526,Br36,109.07541666666485,-13.16461111111089,37.892959999999995,4715.0,68.0,2.8056102000000003,0.120366976,-0.13,62.55445,0.3668883,6.03,7.42,6.34,6.231,3.114,3.13,4.85,3.937,5.59,5.4849997,7.26,7.41,4.88,6.17,2.05
07163517-1310311,Br36,109.14654166666479,-13.175305555555337,39.205833,4712.0,68.0,2.9255912,0.120686345,-0.09,63.141052,0.36681718,6.03,7.42,6.36,6.211,3.1439999999999997,3.34,4.76,3.927,5.48,5.6349998,7.28,7.39,4.9,6.16,2.03
07161811-1310432,Br36,109.07545833333151,-13.178666666666446,54.505478000000004,4690.0,66.0,2.994811,0.11846780000000001,-0.07,64.2015,0.36577073,6.07,7.44,6.37,6.171,3.174,3.3,4.83,4.0169999999999995,5.47,5.495,7.29,7.43,4.97,6.18,2.17
07163142-1314164,Br36,109.13091666666482,-13.237888888888664,45.79541,5180.0,67.0,2.8794181,0.120017864,-0.0558695,73.303246,0.36613888,6.11,7.45,6.09,6.1610002999999995,3.0639999999999996,2.96,4.72,3.7770002000000003,5.4,5.4849997,7.2,7.29,4.66,5.9,2.14
19170911+1933256,Br44,289.28795833332833,19.557111111110785,37.661285,4839.0,70.0,2.9292988999999996,0.12590042,0.214184,-9.1051,0.37096602,6.26,7.69,6.46,6.461,3.5239999999999996,3.49,4.94,4.187,5.86,5.8849998,7.49,7.69,5.08,6.39,2.34
19171388+1933333,Br44,289.3078333333285,19.559249999999665,31.878649,4861.0,70.0,2.9345171000000003,0.12715816,0.28,-9.0691,0.37782872,,,,,3.5439999999999996,,,,,,7.64,7.83,,,
19172208+1933254,Br44,289.3419999999951,19.557055555555227,51.453509999999994,5048.0,68.0,3.2829623,0.123651944,0.397136,-8.761250500000001,0.36877722,6.59,7.73,6.63,6.601,3.7539999999999996,3.77,5.25,4.5369997,6.11,6.185,7.7,7.82,5.37,6.59,2.53
19172126+1933307,Br44,289.33858333332853,19.55852777777745,45.867695,4952.0,68.0,3.2497267999999995,0.12590878,0.28,-8.73215,0.3688262,6.55,7.74,6.58,6.431,3.514,3.61,5.11,4.387,5.98,6.055,7.61,7.78,5.27,6.5,2.45
19172255+1932012,Br44,289.3439583333284,19.533666666666342,55.86091999999999,5060.0,68.0,3.4324286,0.12334756,0.23503800000000002,-8.581799499999999,0.3664501,6.59,7.77,6.61,6.6110000000000015,3.574,3.67,5.22,4.4769998,5.97,5.995,7.71,7.79,5.27,6.57,2.49
19014769-0025108,Br81,285.4487083333285,-0.4196666666666597,90.10218,4763.0,58.0,2.6817447999999997,0.1140278,0.2,47.90335,0.36491009999999996,6.53,7.65,6.59,6.4910000000000005,3.3139999999999996,3.45,4.95,4.197,5.71,5.805,7.56,7.62,5.12,6.43,2.34
19014498-0027496,Br81,285.4374166666619,-0.46377777777777,68.407684,4699.0,66.0,2.7244398999999997,0.11726915,0.13170199999999999,48.19145200000001,0.36556417,6.41,7.64,6.52,6.3710002999999995,3.2939999999999996,3.34,4.95,4.207,5.7,5.685,7.45,7.54,5.09,6.36,2.27
19014194-0028172,Br81,285.4247499999952,-0.4714444444444364,44.948715,4853.0,67.0,2.8052979,0.11951084,0.22,48.31115,0.36662870000000003,6.59,7.74,6.61,6.5310000000000015,3.3439998999999996,3.38,5.03,4.187,5.81,5.765,7.62,7.72,5.11,6.5,2.46
19015261-0025318,Br81,285.46920833332854,-0.4254999999999929,47.818756,4901.0,67.0,2.9211044,0.118972965,0.22,48.379753,0.3662875,6.49,7.68,6.57,6.521,3.464,3.46,5.0,4.237,5.78,5.805,7.58,7.68,5.14,6.37,2.42
19014228-0027388,Br81,285.4261666666618,-0.46077777777777,44.60392,4906.0,67.0,2.9654803,0.12065063,0.27,48.47555,0.36663422,6.48,7.69,6.62,6.521,3.3739999999999997,3.31,5.08,4.337,5.86,5.8149996,7.66,7.68,5.18,6.49,2.4
