CNAME,GES_FLD,WG,RA,DEC,SNR,TEFF,E_TEFF,LOGG,E_LOGG,FEH,XI,MH,ALPHA_FE,VRAD,E_VRAD,VSINI,E_VSINI,TEFF_PHOT,E_TEFF_PHOT,TEFF_IRFM,E_TEFF_IRFM,FBOL_IRFM,HE1,LI1,C1,C2,C3,N2,N3,O1,O2,NE1,NE2,NA1,MG1,MG2,AL1,AL2,AL3,SI1,SI2,SI3,SI4,S1,S2,S3,CA1,CA2,SC1,SC2,TI1,TI2,V1,V2,CR1,CR2,MN1,FE1,FE2,FE3,CO1,NI1,CU1,ZN1,SR1,Y1,Y2,ZR1,ZR2,NB1,MO1,RU1,BA2,LA2,CE2,PR2,ND2,SM2,EU2,GD2,DY2,SPT
00014950-3015120,Blanco1,WG11:WG12,0.4562499999999923,-30.253333333332826,85.79485,5475.0,36.0,4.505417,0.08440687,-0.3129282,1.04,,,-39.33335,0.3661643,8.041201,5.5418725,,,,,,,1.486426,7.74,,,,,,,,,5.6,7.2799997,,6.06,,,7.13,7.22,,,,,,6.17,,3.044,3.1200001,4.67,4.67,3.79,,5.19,5.3349996,5.01,7.15,7.13,,4.6,5.87,3.84,4.324,,,1.57,,,,,,1.79,1.32,,,1.47,,,,,G6V
00005425-2938126,Blanco1,WG11:WG12,0.2260416666666628,-29.63683333333283,93.03521,4799.0,16.0,2.815531,0.07362408,-0.45444524,1.21,,,-30.17125,0.36468244,2.0,2.0724247,,,,,,,-0.47036088,7.98,,,,,8.712,,,,5.81,7.34,,6.23,,,7.25,7.1,,,,,,6.19,5.96,2.77,3.19,4.74,4.8,3.79,,5.13,5.095,4.78,6.99,7.04,,4.67,5.85,3.71,4.3640003,,,1.68,2.17,2.27,,1.74,,1.5040001,0.5,,,1.16,,0.16,,,K0III-IV
00081045-2950206,Blanco1,WG11:WG12,2.0435416666666324,-29.839055555555053,87.65559,4926.0,23.0,4.3841987,0.057017274000000014,-0.031518023,0.95,,,-27.2678,0.366021,7.8012,5.380391,,,,,,,0.8907917,8.5,,,,,,,,,6.3399997,7.47,,6.49,,,7.47,,,,,,,6.53,,3.25,3.4,5.11,5.0,4.3399997,,5.65,5.6549997,5.47,7.47,7.44,,4.97,6.25,4.04,4.464,,,2.14,2.7,,,2.21,,1.9,,,,1.85,,0.59,,,K3V
00064158-3021195,Blanco1,WG11:WG12,1.673249999999972,-30.355416666666155,115.42678,5627.0,6.0,4.0191483,0.0649271,0.26049268,1.09,,,-24.1577,0.36449495,2.0,2.6627176,,,,,,,-1.0,8.43,,,,,,,,,6.47,7.7799997,,6.7,,,7.76,7.52,,,7.25,,,6.7000003,6.32,3.35,3.77,5.19,5.28,4.36,,5.84,5.73,5.68,7.77,7.76,,5.15,6.54,4.46,4.8640003,,,2.36,,2.83,,,,2.3300002,2.03,,,1.71,,0.6,,,G5IV
00021288-2923254,Blanco1,WG11:WG12,0.5536666666666573,-29.390388888888396,131.31041000000002,4940.0,1.0,2.2950397,0.0415834,-0.61236525,1.4,,,31.659302,0.36440563,2.0249999,2.5966907000000004,,,,,,,0.40066656,7.49,,,,,8.492,,,,5.66,7.25,,6.02,,,7.09,6.94,,,,,,6.01,5.66,2.45,2.8100002,4.51,4.52,3.52,,4.93,4.9,4.57,6.84,6.87,,4.42,5.61,3.48,4.1540003,,,1.21,1.7,1.89,,1.52,,1.3840001,0.1,0.86,,0.73,,-0.09,,,G4III-IV
00033189-2943048,Blanco1,WG11:WG12,0.8828749999999851,-29.71799999999949,301.88742,6772.0,149.0,4.185617,0.09814643,-0.16896462,2.1,,,41.328102,0.40088567,24.771492,6.232076,,,,,,,3.2550564,7.96,,,,,9.232,,,,6.03,7.3,,6.18,,,7.27,7.3,,,7.26,,,6.1800003,,4.414,2.89,4.74,4.51,4.757,,5.19,5.4449997,5.18,7.2,7.21,,4.82,5.96,4.04,4.224,,,1.87,,,,3.41,,1.7240001,,,,1.35,,,,,F1V
00041660-3027160,Blanco1,WG11:WG12,1.0691666666666488,-30.454444444443933,169.3163,5014.0,11.0,2.3808994,0.016008176000000002,-0.58802867,1.56,,,43.06075300000001,0.36426577,2.05,2.710326,,,,,,,0.4608823,7.62,,,,,8.562000000000001,,,,5.67,7.23,,6.0099998,,,7.11,6.94,,,,,,6.03,5.65,2.59,2.93,4.53,4.53,3.58,,4.94,4.87,4.63,6.86,6.9,,4.46,5.65,3.49,4.124,,,1.37,2.0,2.05,,,,1.394,0.47,0.93,,0.89,,-0.019999996000000003,,,G4III-IV
00015564-3019113,Blanco1,WG11:WG12,0.4818333333333251,-30.31980555555504,90.240875,5686.0,31.0,4.0425096,0.019158898,0.033038333,0.87,,,46.44255,0.36471358,2.0,2.1042397,,,,,,,0.6185075,8.25,,,,,,,,,6.12,7.63,,6.3799996,,,7.51,7.43,,,,,,6.54,6.12,3.1,3.44,4.97,4.9700003,4.06,,5.68,5.54,5.34,7.52,7.45,,4.89,6.26,4.21,4.6140003,,,2.02,,,,,,2.15,1.64,,,1.39,,,,,G5IV-V
00010623-3014461,Blanco1,WG11:WG12,0.2759583333333287,-30.246138888888375,63.619106,5082.0,26.0,3.676779,0.100253016,-0.18017246,0.91,,,66.37935999999999,0.36517,2.0,2.0213554,,,,,,,0.39348283,,,,,,8.712,,,,5.91,7.35,,6.2599998,,,7.34,7.18,,,,,,6.3,6.37,2.87,3.38,4.86,4.96,3.9099998,,5.44,5.365,5.12,7.26,7.31,,4.79,6.01,3.91,4.464,,,1.99,,,,,,1.9599999,1.89,1.7900001,,1.5,,0.4,,,G5IV
00065576-3036110,Blanco1,WG11:WG12,1.7323333333333042,-30.603055555555038,183.14317,6586.0,0.0,4.07,0.0,-0.11,1.4842919,,,,,,,,,,,,,2.2387712000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F3V
