Zini;logAge;logTe;logg
0.0152;9.8451;3.3624;5.217
0.0152;9.8451;3.3882;5.184
0.0152;9.8451;3.4116;5.153
0.0152;9.8451;3.423;5.138
0.0152;9.8451;3.4433;5.102
0.0152;9.8451;3.4526;5.082
0.0152;9.8451;3.4569;5.073
0.0152;9.8451;3.4756;5.027
0.0152;9.8451;3.492;4.98
0.0152;9.8451;3.5027;4.938
0.0152;9.8451;3.5113;4.889
0.0152;9.8451;3.5224;4.847
0.0152;9.8451;3.5347;4.797
0.0152;9.8451;3.5497;4.747
0.0152;9.8451;3.5694;4.694
0.0152;9.8451;3.5937;4.66
0.0152;9.8451;3.6232;4.64
0.0152;9.8451;3.6286;4.637
0.0152;9.8451;3.6533;4.625
0.0152;9.8451;3.6688;4.618
0.0152;9.8451;3.6825;4.61
0.0152;9.8451;3.6853;4.606
0.0152;9.8451;3.6991;4.585
0.0152;9.8451;3.705;4.576
0.0152;9.8451;3.7053;4.575
0.0152;9.8451;3.7165;4.554
0.0152;9.8451;3.7256;4.535
0.0152;9.8451;3.7333;4.514
0.0152;9.8451;3.7413;4.491
0.0152;9.8451;3.7438;4.483
0.0152;9.8451;3.7459;4.475
0.0152;9.8451;3.7502;4.457
0.0152;9.8451;3.754;4.44
0.0152;9.8451;3.7575;4.423
0.0152;9.8451;3.7591;4.415
0.0152;9.8451;3.7633;4.388
0.0152;9.8451;3.7658;4.37
0.0152;9.8451;3.77;4.335
0.0152;9.8451;3.7707;4.327
0.0152;9.8451;3.7716;4.316
0.0152;9.8451;3.773;4.295
0.0152;9.8451;3.7749;4.259
0.0152;9.8451;3.7763;4.227
0.0152;9.8451;3.7768;4.208
0.0152;9.8451;3.777;4.197
0.0152;9.8451;3.7771;4.165
0.0152;9.8451;3.7767;4.134
0.0152;9.8451;3.7755;4.092
0.0152;9.8451;3.7724;4.047
0.0152;9.8451;3.7674;3.999
0.0152;9.8451;3.767;3.996
0.0152;9.8451;3.7649;3.979
0.0152;9.8451;3.7557;3.928
0.0152;9.8451;3.7451;3.889
0.0152;9.8451;3.7353;3.862
0.0152;9.8451;3.7268;3.838
0.0152;9.8451;3.7186;3.809
0.0152;9.8451;3.7099;3.764
0.0152;9.8451;3.7033;3.71
0.0152;9.8451;3.7017;3.693
0.0152;9.8451;3.7005;3.675
0.0152;9.8451;3.6976;3.618
0.0152;9.8451;3.6957;3.57
0.0152;9.8451;3.6937;3.511
0.0152;9.8451;3.6924;3.464
0.0152;9.8451;3.691;3.407
0.0152;9.8451;3.6897;3.359
0.0152;9.8451;3.6885;3.311
0.0152;9.8451;3.6872;3.265
0.0152;9.8451;3.6855;3.206
0.0152;9.8451;3.6841;3.16
0.0152;9.8451;3.6822;3.102
0.0152;9.8451;3.6806;3.054
0.0152;9.8451;3.6785;2.995
0.0152;9.8451;3.6763;2.935
0.0152;9.8451;3.674;2.877
0.0152;9.8451;3.6717;2.818
0.0152;9.8451;3.6692;2.758
0.0152;9.8451;3.6668;2.7
0.0152;9.8451;3.6642;2.641
0.0152;9.8451;3.6617;2.583
0.0152;9.8451;3.6592;2.529
0.0152;9.8451;3.6569;2.476
0.0152;9.8451;3.6589;2.513
0.0152;9.8451;3.6616;2.564
0.0152;9.8451;3.6621;2.574
0.0152;9.8451;3.661;2.552
0.0152;9.8451;3.6583;2.493
0.0152;9.8451;3.6555;2.435
0.0152;9.8451;3.6528;2.376
0.0152;9.8451;3.65;2.319
0.0152;9.8451;3.6471;2.262
0.0152;9.8451;3.6442;2.203
0.0152;9.8451;3.6414;2.147
0.0152;9.8451;3.6384;2.09
0.0152;9.8451;3.6355;2.034
0.0152;9.8451;3.6325;1.977
0.0152;9.8451;3.6295;1.921
0.0152;9.8451;3.6265;1.865
0.0152;9.8451;3.6234;1.809
0.0152;9.8451;3.6204;1.754
0.0152;9.8451;3.6173;1.699
0.0152;9.8451;3.6142;1.643
0.0152;9.8451;3.6111;1.589
0.0152;9.8451;3.6079;1.533
0.0152;9.8451;3.6048;1.48
0.0152;9.8451;3.6017;1.427
0.0152;9.8451;3.5984;1.372
0.0152;9.8451;3.5953;1.319
0.0152;9.8451;3.592;1.266
0.0152;9.8451;3.5887;1.213
0.0152;9.8451;3.5855;1.163
0.0152;9.8451;3.5822;1.111
0.0152;9.8451;3.5788;1.059
0.0152;9.8451;3.5756;1.009
0.0152;9.8451;3.5714;0.947
0.0152;9.8451;3.5671;0.885
0.0152;9.8451;3.5629;0.823
0.0152;9.8451;3.5585;0.762
0.0152;9.8451;3.5542;0.702
0.0152;9.8451;3.55;0.644
0.0152;9.8451;3.5456;0.585
0.0152;9.8451;3.5413;0.527
0.0152;9.8451;3.537;0.471
0.0152;9.8451;3.5327;0.414
0.0152;9.8451;3.5283;0.358
0.0152;9.8451;3.5239;0.303
0.0152;9.8451;3.5196;0.249
0.0152;9.8451;3.5153;0.196
0.0152;9.8451;3.511;0.144
0.0152;9.8451;3.5067;0.092
0.0152;9.8451;3.5017;0.03
0.0152;9.8451;3.6686;2.395
0.0152;9.8451;3.6679;2.383
0.0152;9.8451;3.6676;2.378
0.0152;9.8451;3.6679;2.379
0.0152;9.8451;3.6683;2.383
0.0152;9.8451;3.6688;2.387
0.0152;9.8451;3.6693;2.392
0.0152;9.8451;3.6697;2.396
0.0152;9.8451;3.6702;2.4
0.0152;9.8451;3.6705;2.404
0.0152;9.8451;3.6709;2.407
0.0152;9.8451;3.6712;2.41
0.0152;9.8451;3.6715;2.412
0.0152;9.8451;3.6718;2.414
0.0152;9.8451;3.6721;2.417
0.0152;9.8451;3.6721;2.417
0.0152;9.8451;3.6723;2.419
0.0152;9.8451;3.6725;2.42
0.0152;9.8451;3.6727;2.421
0.0152;9.8451;3.6728;2.421
0.0152;9.8451;3.6729;2.421
0.0152;9.8451;3.6729;2.421
0.0152;9.8451;3.6729;2.42
0.0152;9.8451;3.6729;2.42
0.0152;9.8451;3.6729;2.419
0.0152;9.8451;3.6728;2.417
0.0152;9.8451;3.6727;2.414
0.0152;9.8451;3.6724;2.41
0.0152;9.8451;3.6721;2.405
0.0152;9.8451;3.6717;2.399
0.0152;9.8451;3.6713;2.392
0.0152;9.8451;3.6708;2.384
0.0152;9.8451;3.6701;2.374
0.0152;9.8451;3.6693;2.363
0.0152;9.8451;3.6692;2.361
0.0152;9.8451;3.6669;2.327
0.0152;9.8451;3.6633;2.273
0.0152;9.8451;3.6598;2.221
0.0152;9.8451;3.6561;2.164
0.0152;9.8451;3.6526;2.111
0.0152;9.8451;3.6493;2.061
0.0152;9.8451;3.6461;2.01
0.0152;9.8451;3.6428;1.959
0.0152;9.8451;3.6406;1.925
0.0152;9.8451;3.6405;1.924
0.0152;9.8451;3.6395;1.908
0.0152;9.8451;3.6361;1.854
0.0152;9.8451;3.6333;1.809
0.0152;9.8451;3.6313;1.778
0.0152;9.8451;3.6298;1.755
0.0152;9.8451;3.6315;1.781
0.0152;9.8451;3.6331;1.806
0.0152;9.8451;3.6351;1.838
0.0152;9.8451;3.6356;1.846
0.0152;9.8451;3.6343;1.826
0.0152;9.8451;3.6308;1.77
0.0152;9.8451;3.627;1.71
0.0152;9.8451;3.6232;1.651
0.0152;9.8451;3.6196;1.593
0.0152;9.8451;3.616;1.537
0.0152;9.8451;3.6125;1.482
0.0152;9.8451;3.6089;1.426
0.0152;9.8451;3.6054;1.37
0.0152;9.8451;3.6017;1.314
0.0152;9.8451;3.5972;1.254
0.0152;9.8451;3.5915;1.19
0.0152;9.8451;3.5872;1.141
0.0152;9.8451;3.5831;1.083
0.0152;9.8451;3.5791;1.026
0.0152;9.8451;3.5751;0.969
0.0152;9.8451;3.5709;0.91
0.0152;9.8451;3.5668;0.853
0.0152;9.8451;3.5628;0.8
