CNAME,GES_FLD,WG,RA,DEC,SNR,TEFF,E_TEFF,LOGG,E_LOGG,FEH,XI,MH,ALPHA_FE,VRAD,E_VRAD,VSINI,E_VSINI,TEFF_PHOT,E_TEFF_PHOT,TEFF_IRFM,E_TEFF_IRFM,FBOL_IRFM,HE1,LI1,C1,C2,C3,N2,N3,O1,O2,NE1,NE2,NA1,MG1,MG2,AL1,AL2,AL3,SI1,SI2,SI3,SI4,S1,S2,S3,CA1,CA2,SC1,SC2,TI1,TI2,V1,V2,CR1,CR2,MN1,FE1,FE2,FE3,CO1,NI1,CU1,ZN1,SR1,Y1,Y2,ZR1,ZR2,NB1,MO1,RU1,BA2,LA2,CE2,PR2,ND2,SM2,EU2,GD2,DY2,SPT
00053673-2946290,Blanco1,WG11:WG12,1.403041666666643,-29.774722222221712,156.27115,4810.0,15.0,3.034378,0.071408585,0.014871952,1.12,,,12.8693,0.36455035,3.8500001,3.6248965,,,,,,,-1.0,8.28,,,,,8.752,,,,6.23,7.5699997,,6.48,,,7.48,7.45,,,,,,6.4500003,6.15,3.06,3.46,5.01,5.02,4.2,,5.57,5.55,5.42,7.46,7.48,,5.02,6.25,4.24,4.6540003,,,2.05,2.48,2.46,,1.99,,1.984,0.89,1.5400001,,1.57,,0.29,,,K1IV
00052015-3025219,Blanco1,WG11:WG12,1.3339583333333107,-30.42274999999949,98.94886,4742.0,24.0,2.0485234,0.048425723,-1.1374197,1.3333334,,,19.447002,0.36462456,2.0,2.5040054,,,,,,,-1.0,,,,,,8.122,,,,5.04,6.79,,5.5099998,,,6.71,6.69,,,,,,5.63,,2.204,2.25,4.03,4.11,2.9399998,,4.46,4.455,3.96,6.31,6.34,,3.85,5.07,2.67,3.654,,,1.3,1.87,1.92,,1.34,,1.304,-0.07,0.71999997,,0.65,,-0.54,,,G4III-IV
00035911-2945177,Blanco1,WG11:WG12,0.99629166666665,-29.754916666666173,35.05066,5016.0,32.0,3.093266,0.17652375,-0.35966936,1.135,,,24.708752,0.3666246,2.0,1.8601819,,,,,,,1.1365461,7.84,,,,,8.672,,,,5.71,7.49,,6.1099997,,,7.16,7.22,,,,,,6.2200003,,2.89,3.14,4.79,4.84,3.84,,5.19,5.19,4.78,6.98,7.08,,4.62,5.8,3.73,4.224,,,1.79,2.56,2.69,,,,1.4640001,1.24,,,1.15,,,,,G5IV
06411039-1628006,Br25,WG11,100.29329166666494,-16.466833333333053,42.63679000000001,5047.0,67.0,2.7511053,0.12028525,-0.29,1.71,,,135.10493,0.36629876,2.1305556,2.520944,,,,,,,0.81,8.32,,,,,8.8220005,,,,5.97,7.35,,6.14,,,7.25,7.19,,,,,,6.1610003,,3.074,3.12,4.7,4.74,3.8270001,,5.4,5.2749996,5.12,7.14,7.19,,4.67,5.92,3.94,4.374,,,1.72,2.41,3.12,,,,1.894,0.88,1.72,,1.47,,0.25,,,
06411368-1629164,Br25,WG11,100.30699999999833,-16.48788888888861,65.66838,4617.0,70.0,2.429946,0.12362407,-0.27,1.675,,,135.29695,0.3654151,2.1027777000000003,2.9689555,,,,,,,-0.07,7.97,,,,,8.872,,,,5.87,7.29,,6.12,,,7.33,7.0,,,8.04,,,6.051,,2.924,3.1,4.61,4.74,3.7470002,,5.34,5.345,5.08,7.1,7.19,,4.68,5.97,3.83,4.464,,,1.95,2.2,2.41,,,,1.6740000000000002,0.83,1.3299999,,1.45,,0.28,,,
06411680-1630203,Br25,WG11:WG10:WG13,100.31999999999832,-16.505638888888605,47.293304,4847.0,66.0,2.9278386000000003,0.118372254,-0.23,1.7850001,,,135.6967,0.36614892,2.0027776000000004,2.249254,,,,,,,0.46,8.1,,,,,9.062,,,,5.93,7.3,,6.17,,,7.33,7.19,,,,,,6.051,6.36,3.214,3.18,4.72,4.84,3.897,,5.33,5.4649997,5.15,7.12,7.25,,4.75,5.93,3.9,4.394,,,2.01,2.34,2.7,,,,1.6840000000000002,1.03,1.75,,1.71,,0.44,,,
06412040-1628236,Br25,WG11,100.33499999999832,-16.473222222221946,14.324971,4779.0,74.0,2.6289701,0.12757647,0.01,1.49,,,136.21208,0.37376252,2.0,2.6008546000000003,,,,,,,0.85,,,,,,,,,,6.36,7.58,,6.53,,,7.56,,,,,,,6.401,,3.434,3.32,5.01,4.97,4.2269998,,5.59,5.515,5.41,7.37,7.49,,5.06,6.21,3.91,3.894,,,2.2,2.79,2.73,,,,,1.09,,,1.89,,0.63,,,
06411660-1628161,Br25,WG11,100.31916666666494,-16.47113888888861,18.606117,4777.0,71.0,2.6887972,0.12370424,-0.1,1.68,,,137.05055,0.3705476,2.0472221,2.4527423,,,,,,,0.89,,,,,,,,,,5.93,7.43,,6.27,,,7.38,7.76,,,,,,6.421,,3.114,3.21,4.82,4.8,4.107,,5.53,5.375,5.22,7.26,7.32,,4.93,6.02,4.2,4.1740002999999986,,,1.94,2.45,2.6,,,,,1.05,,,1.71,,0.42,,,
06410841-1629195,Br25,WG11:WG10:WG13,100.285041666665,-16.488749999999722,54.22049000000001,4962.0,66.0,2.6509624,0.11750193,-0.281352,1.745,,,137.46303999999998,0.3660677,4.0474997,3.6025730000000005,,,,,,,0.57,8.19,,,,,8.932,,,,5.94,7.22,,6.12,,,7.25,7.04,,,,,,6.081,6.12,2.904,3.06,4.59,4.76,3.677,,5.22,5.305,4.98,7.06,7.16,,4.59,5.86,3.75,4.524,,,1.86,2.31,2.5,,,,1.814,0.89,1.55,,1.35,,0.2,,,
06574124+0812228,Br31,WG11:WG10,104.42183333333159,8.206333333333196,87.825874,4870.0,58.0,2.590064,0.11455263,-0.220948,1.54,,,51.2107,0.36479053,2.0,2.4937108,,,,,,,0.3,7.97,,,,,8.662,,,,5.93,7.29,,6.18,,,7.3,7.2,,,,,,6.1410003,6.19,2.874,3.04,4.62,4.82,3.687,,5.25,5.245,4.99,7.11,7.2,,4.61,5.93,3.93,4.484,,,1.84,2.27,2.44,,,,1.904,0.74,1.54,,1.44,,0.29,,,
