CNAME,GES_FLD,WG,RA,DEC,SNR,TEFF,E_TEFF,LOGG,E_LOGG,FEH,XI,MH,ALPHA_FE,VRAD,E_VRAD,VSINI,E_VSINI,TEFF_PHOT,E_TEFF_PHOT,TEFF_IRFM,E_TEFF_IRFM,FBOL_IRFM,HE1,LI1,C1,C2,C3,N2,N3,O1,O2,NE1,NE2,NA1,MG1,MG2,AL1,AL2,AL3,SI1,SI2,SI3,SI4,S1,S2,S3,CA1,CA2,SC1,SC2,TI1,TI2,V1,V2,CR1,CR2,MN1,FE1,FE2,FE3,CO1,NI1,CU1,ZN1,SR1,Y1,Y2,ZR1,ZR2,NB1,MO1,RU1,BA2,LA2,CE2,PR2,ND2,SM2,EU2,GD2,DY2,SPT
00032185-3001105,Blanco1,WG11:WG12,0.8410416666666526,-30.019583333332825,205.40398,6561.0,190.0,4.1162806000000005,0.24091883,-0.17152663,1.82,,,-11.6771,0.38327202,20.641212,5.440758,,,,,,,2.931364,7.93,,,,,9.432,,,,6.0499997,7.1,,6.3,,,7.35,7.32,,,7.31,,,6.32,6.2,,2.94,4.69,4.59,4.7599998,,5.26,5.67,5.19,7.27,7.3,,5.35,5.84,,4.164,,,1.87,3.95,,,,,1.9,,,,,,,,,F5IV
00012282-2950366,Blanco1,WG11:WG12,0.3450833333333275,-29.84349999999949,67.55538,5233.0,0.0,4.5,0.0,-0.04,0.92044234,,,-10.58495,3.3242595,,,,,,,,,3.6,,,,,,,,,,5.68,,,,,,7.39,,,,,,,6.1110000000000015,,3.664,2.95,5.26,5.16,4.137,,5.39,5.6349998,5.48,,,,5.08,6.44,,,,,,,,,,,,,,,2.41,,,,,K1V
00072299-3030477,Blanco1,WG11:WG12,1.8457916666666359,-30.51324999999949,202.05592,5767.0,26.0,4.224686,0.0029418448,-0.32933226,0.8,,,-6.5314503,0.3641827,2.0,2.6292033,,,,,,,2.4106276,7.81,,,,,8.362,,,,5.71,7.13,,6.02,,,7.11,7.19,,,,,,6.17,5.98,,3.0,4.58,4.54,3.6,,5.24,5.2149997,4.86,7.13,7.16,,4.51,5.79,3.66,4.224,,,1.71,,,,,,2.0700002,1.11,,,1.27,,0.13,,,G1.5V
00023546-3007019,Blanco1,WG11:WG12,0.6477499999999891,-30.117194444443946,134.85101,5392.0,28.0,4.5340343,0.033481155,-0.10496951,1.25,,,-2.99015,0.3657486,8.5702,5.858814,,,,,,,2.5603395,8.11,,,,,,,,,5.96,7.37,,6.14,,,7.34,7.41,,,,,,6.38,,2.97,3.25,4.83,4.84,3.9299998,,5.51,5.4849997,5.29,7.37,7.39,,4.7,6.04,3.81,4.474,,,1.94,,,,,,2.16,1.82,,,1.68,,,,,K1V
00030709-3015171,Blanco1,WG11:WG12,0.7795416666666535,-30.25474999999949,134.9985,5310.0,41.0,4.5392914000000015,0.07711900000000001,-0.14128906,1.51,,,2.76235,0.36632267,9.798636,6.4252152,,,,,,,2.5966525000000003,8.03,,,,,,,,,6.04,7.36,,6.16,,,7.27,7.4,,,,,,6.35,,3.09,3.15,4.79,4.77,3.9699998,,5.46,5.535,5.3,7.33,7.33,,4.7,6.0,3.77,4.334,,,2.0,,,,,,1.9399999,1.77,,,1.57,,0.43,,,K1V
00061720-2942226,Blanco1,WG11:WG12,1.5716666666666403,-29.70627777777727,152.85037,5613.0,18.0,4.325277,0.07312410000000001,0.3676354,0.79,,,3.4306998,0.36431652,2.0527778000000003,3.07334,,,,,,,-1.0,8.58,,,,,8.882,,,,6.65,7.9300003,,6.81,,,7.91,7.73,,,7.67,,,6.78,6.47,3.49,3.92,5.31,5.38,4.46,,6.0,5.79,5.86,7.89,7.9,,5.37,6.7,4.64,4.974,,,2.56,,,,2.5,,2.45,2.5,,,1.75,,0.63,,,G6V
00065071-3031382,Blanco1,WG11:WG12,1.7112916666666378,-30.52727777777727,83.798035,5728.0,20.0,4.310232,0.010225668,0.17844614,0.92,,,5.50095,0.36479372,2.0,2.4725988,,,,,,,1.5569212,8.41,,,,,,,,,6.39,7.75,,6.5699997,,,7.67,7.66,,,,,,6.61,6.32,3.22,3.66,5.09,5.08,4.23,,5.83,5.66,5.59,7.69,7.68,,5.08,6.46,4.36,4.784,,,2.34,,,,,,2.24,1.93,,,1.63,,0.58,,,G2.5V
00031081-3010489,Blanco1,WG11:WG12,0.7950416666666533,-30.1802499999995,217.8204,6068.0,45.0,4.290051,0.15893707,-0.067128114,1.74,,,5.52855,0.39584708,23.387424,5.9815087,,,,,,,3.1612692000000004,8.03,,,,,,,,,6.02,7.42,,6.28,,,7.34,7.45,,,7.37,,,6.39,6.35,3.884,2.96,4.64,4.58,4.117,,5.36,6.1800003,5.2,7.32,7.32,,4.78,5.96,4.09,4.284,,,1.91,,,,,,1.85,,,,1.61,,,,,F9IV-V
00055905-2939046,Blanco1,WG11:WG12,1.4960416666666412,-29.65127777777727,334.9953,5921.0,83.0,4.4464087,0.0493907,-0.004741017,1.51,,,5.685,0.36808735,13.659874,5.340406400000001,,,,,,,3.1130732999999995,8.08,,,,,9.192,,,,6.0,7.4,,6.21,,,7.31,7.45,,,7.04,,,6.39,6.25,3.354,3.17,4.8,4.7400002,3.9399998,,5.55,5.5049996,5.19,7.46,7.44,,4.72,6.0,3.89,4.464,,,2.12,,,,,,2.17,1.4,,,1.66,,0.26,,,G0V
00043317-2938281,Blanco1,WG11:WG12,1.1382083333333142,-29.641138888888374,309.2374,6393.0,11.0,4.48804,0.0041963863,-0.062312808,1.36,,,5.75235,0.36534622,8.957001,6.162822,,,,,,,3.2508771,8.07,,,,,,,,,6.0,7.24,,6.17,,,7.38,7.38,,,7.09,,,6.46,6.17,,3.23,4.87,4.87,4.047,,5.63,5.55,5.34,7.47,7.45,,4.81,6.1,4.01,4.474,,,2.1,,,,,,2.3600001,1.26,,,1.57,,0.4,,,F6IV
