CNAME,GES_FLD,WG,RA,DEC,SNR,TEFF,E_TEFF,LOGG,E_LOGG,FEH,XI,MH,ALPHA_FE,VRAD,E_VRAD,VSINI,E_VSINI,TEFF_PHOT,E_TEFF_PHOT,TEFF_IRFM,E_TEFF_IRFM,FBOL_IRFM,HE1,LI1,C1,C2,C3,N2,N3,O1,O2,NE1,NE2,NA1,MG1,MG2,AL1,AL2,AL3,SI1,SI2,SI3,SI4,S1,S2,S3,CA1,CA2,SC1,SC2,TI1,TI2,V1,V2,CR1,CR2,MN1,FE1,FE2,FE3,CO1,NI1,CU1,ZN1,SR1,Y1,Y2,ZR1,ZR2,NB1,MO1,RU1,BA2,LA2,CE2,PR2,ND2,SM2,EU2,GD2,DY2,SPT
03340731+2420400,Pleiades,WG11:WG12:WG13,-999.9,-999.9,2126.902,6278.0,0.0,3.93,0.0,-0.2,1.3362461,,,2.4606,0.56568545,,,,,,,,,2.7160246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4599996,7.4599996,,,,,,,,,,,,,,,,1.1,,,,,,,F6IV
03343624+2035575,Pleiades,WG11:WG12:WG13,-999.9,-999.9,2849.6685,5626.0,22.0,4.1402206,0.030633322999999997,-0.15041076,0.73,,,-20.137398,0.56568545,,,,,,,,,0.37398046,8.09,,,,,8.352,,,,6.0,7.59,,6.31,,,7.4,7.3,,,,,,6.38,,3.1039999999999996,3.3200002,4.88,4.86,3.9499998,,5.44,5.375,5.18,7.32,7.26,,4.74,6.07,4.0,4.644,,,1.76,,2.24,,,,1.9699999,1.54,1.4100001,,1.42,,,,,G1V
03382257+2229589,Pleiades,WG11:WG12:WG13,-999.9,-999.9,4752.4004,5975.0,0.0,4.29,0.0,-0.01,1.1615492,,,6.7059,0.56568545,,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.64,7.8199997,,,,,,,,2.49,,,,,,,,,,,,,,,G0V
03391347+2427595,Pleiades,WG11:WG12:WG13,-999.9,-999.9,4273.9565,6169.0,7.0,4.5704603,0.020209892,0.04000001,1.4200001,,,4.60925,0.56568545,,,,,,,,,3.2438293,,,,,,,,,,6.1099997,7.48,,6.2599998,,,7.51,,,,,,,6.5,,,3.3600001000000006,4.94,4.9500003,4.14,,5.64,,,7.51,7.52,,,6.16,,,,,2.08,,,,,,2.3300002,1.47,,,,,,,,G0V
03394117+2317271,Pleiades,WG11:WG12:WG13,-999.9,-999.9,5115.9004,6118.0,0.0,4.05,0.0,-0.02,1.2543981000000002,,,5.5401,0.56568545,,,,,,,,,3.101317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.62,7.62,,,,,,,,1.82,,,,,,2.2900002,,,,,,,,,F9IV-V
03400308+2744258,Pleiades,WG11:WG12:WG13,-999.9,-999.9,3710.7136,6328.0,0.0,3.95,0.0,-0.22,1.3571371,,,11.1402,0.4,,,,,,,,,2.7556186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.56,,,,,,2.13,,,,,,,,,F6IV
03420472+2251308,Pleiades,WG11:WG12:WG13,-999.9,-999.9,3879.4224,5926.0,0.0,2.99,0.0,-1.7,2.32,,,5.1127,0.4,,,,,,,,,2.3630486,,,,,,,,,,,,,,,,,,,,,,,4.7200003,,,2.65,5.19,,,,,5.48,,5.75,5.7,,,4.79,,,,,,,,,3.77,,,,,,,,,,,F5IV-V
03422399+2128246,Pleiades,WG11:WG12:WG13,-999.9,-999.9,5086.428,6236.0,235.0,4.499022,0.33922005,-0.06586832,1.34,,,7.4628,0.56568545,,,,,,,,,3.2140087999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.54,7.58,,,,,,,,2.15,,,,,,,,1.6800001,,,,,,,F9IV-V
03444398+2413524,Pleiades,WG11:WG12:WG13,-999.9,-999.9,3204.1309,5394.0,40.0,4.534896,0.037255973,-0.03810735,1.18,,,5.12895,0.56568545,,,,,,,,,2.5152783,8.27,,,,,,,,,6.04,7.47,,6.25,,,7.48,7.45,,,,,,6.44,,2.96,3.3200002,4.86,4.88,4.0,,5.58,5.685,5.39,7.43,7.5,,4.73,6.12,3.88,4.784,,,2.14,,2.69,,,,2.24,1.86,1.8000001,,1.46,,,,,K0V
03444485+2044528,Pleiades,WG11:WG12:WG13,-999.9,-999.9,3192.8914,6935.0,0.0,4.21,0.0,-0.12,1.6835921999999999,,,11.870399,0.4,,,,,,,,,2.4072535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07,,,,,,,,1.5100001,,,,,,,F1V
03445892+2201568,Pleiades,WG11:WG12:WG13,-999.9,-999.9,4886.628,6754.0,10.0,4.365259,0.0151622305,-0.032754406,1.6700001,,,5.99475,0.56568545,,,,,,,,,3.106305,,,,,,,,,,6.0099998,7.45,,6.5,,,7.51,,,,,,,6.57,,,3.3300002,4.99,4.84,,,5.6,5.6,,7.47,7.48,,,6.17,,,,,2.14,,,,,,2.2,1.19,,,,,,,,F5IV-V
03454512+2535448,Pleiades,WG11:WG12:WG13,-999.9,-999.9,4830.9214,6112.0,21.0,4.1286235,0.029664312999999998,0.010096532,1.31,,,-0.8487,0.56568545,,,,,,,,,1.1479553,8.25,,,,,,,,,6.0499997,7.47,,6.22,,,7.41,7.5,,,7.09,,,6.4300003,6.15,3.5639999999999996,3.2800002,4.8,4.82,3.957,,5.5,5.4900002,5.26,7.42,7.4,,4.81,6.13,3.93,4.513999999999999,,,1.97,,2.78,,,,2.1200001,1.17,1.57,,1.38,,,,,F8V
03461269+2307428,Pleiades,WG11:WG12:WG13,-999.9,-999.9,2314.7517,5981.0,46.0,4.263257,0.03550971,0.099310346,1.1,,,-6.2376002999999995,0.56568545,,,,,,,,,2.3830676,8.26,,,,,,,,,6.23,7.5,,6.49,,,7.5,7.48,,,,,,6.54,6.31,3.464,3.48,4.99,4.9700003,4.16,,5.72,5.7400002,5.5,7.56,7.58,,4.94,6.37,4.15,4.704,,,2.13,,2.89,,,,2.15,1.41,1.4200001,,1.53,,,,,G1V
03465375+2335008,Pleiades,WG11:WG12:WG13,-999.9,-999.9,4417.102,5856.0,1.0,4.370575,0.025866056000000002,-0.00044292765,0.94,,,6.36865,0.56568545,,,,,,,,,3.0235445,8.21,,,,,8.502,,,,6.06,7.43,,6.2599998,,,7.43,7.42,,,7.05,,,6.52,6.27,3.2939999999999996,3.2800002,4.87,4.86,4.03,,5.65,5.62,5.34,7.5,7.48,,4.73,6.15,3.95,4.604,,,2.16,,2.75,,,,2.42,1.53,1.8000001,,1.35,,,,,G1V
03474808+2313051,Pleiades,WG11:WG12:WG13,-999.9,-999.9,3261.4211,5547.0,56.0,4.3782554000000005,0.040020573999999996,0.04500762,0.93,,,7.38575,0.56568545,,,,,,,,,2.9065602000000004,8.12,,,,,8.252,,,,6.08,7.509999799999999,,6.3399997,,,7.45,7.37,,,,,,6.58,6.31,3.07,3.3300002,4.99,4.92,4.09,,5.73,5.66,5.51,7.56,7.48,,4.8,6.25,4.11,4.6940002,,,2.29,,2.64,,,,2.42,1.94,1.84,,1.75,,,,,G2V
03481712+2353244,Pleiades,WG11:WG12:WG13,-999.9,-999.9,2898.8904,5943.0,54.0,4.574376,0.08280415,0.000115125535,1.565,,,5.84695,0.56568545,,,,,,,,,2.5896137,,,,,,,,,,6.0699997,7.33,,,,,7.37,,,,,,,6.39,,,3.23,4.8,4.78,,,5.49,,,7.4,7.47,,5.04,6.02,,,,,2.16,,,,,,2.26,1.44,1.5600001000000001,,,,,,,G0V
03483452+2326053,Pleiades,WG11:WG12:WG13,-999.9,-999.9,6318.525,5944.0,41.0,4.3764085999999995,0.049390394000000004,-0.04953964,1.53,,,6.0622997000000005,0.56568545,,,,,,,,,3.080351,,,,,,,,,,5.9,7.44,,,,,7.33,,,,,,,6.39,,,3.22,4.78,4.65,,,5.51,,,7.39,7.38,,,5.99,,,,,1.86,,,,,,2.15,1.22,,,,,,,,G0V
03492874+2342441,Pleiades,WG11:WG12:WG13,-999.9,-999.9,2993.0823,5254.0,7.0,4.4246073,0.053217932999999995,-0.03849163,1.17,,,5.83915,0.56568545,,,,,,,,,2.4423418,8.35,,,,,,,,,6.06,7.5,,6.2799997,,,7.44,7.46,,,,,,6.42,,2.99,3.2900002,4.84,4.82,4.02,,5.59,5.575,5.45,7.43,7.52,,4.71,6.12,3.91,,,,2.05,,2.34,,,,2.18,2.01,1.7800001,,1.51,,,,,K0V
03495649+2312070,Pleiades,WG11:WG12:WG13,-999.9,-999.9,4873.772,6232.0,112.0,4.6815443,0.22191629,-0.008772754,1.78,,,6.17855,0.56568545,,,,,,,,,3.216396,,,,,,,,,,5.96,7.42,,,,,7.39,,,,,,,6.3,,3.4939999999999998,3.24,4.8,4.9,4.31,,5.55,5.87,,7.4,7.47,,5.26,6.04,,,,,2.06,,,,,,,1.29,,,,,,,,F9IV-V
03515686+2354071,Pleiades,WG11:WG12:WG13,-999.9,-999.9,4553.4995,6177.0,72.0,4.302189,0.031731017,0.04351317,1.08,,,5.7300997,0.56568545,,,,,,,,,3.2158723,8.18,,,,,,,,,6.08,7.46,,6.2999997,,,7.41,7.48,,,,,,6.53,6.25,,3.3000002,4.95,4.85,4.18,,5.66,5.55,5.37,7.52,7.48,,4.88,6.2,3.97,4.524,,,2.13,,2.7,,,,2.42,1.34,1.73,,1.55,,,,,F8V
03525347+2442566,Pleiades,WG11:WG12:WG13,-999.9,-999.9,5462.7466,6332.0,0.0,3.91,0.0,-0.15,1.3679501,,,7.6840496,0.56568545,,,,,,,,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,,,,,,,,,,,,,,,F5IV-V
03580169+2040365,Pleiades,WG11:WG12:WG13,-999.9,-999.9,5904.4224,6259.0,0.0,3.93,0.0,-0.19,1.3275576999999998,,,14.3131,0.4,,,,,,,,,2.8512838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6IV
