Zini;logAge;logTe;logg
0.0152;6;3.4419;3.433
0.0152;6;3.4494;3.408
0.0152;6;3.4554;3.39
0.0152;6;3.4612;3.371
0.0152;6;3.4689;3.35
0.0152;6;3.471;3.344
0.0152;6;3.4742;3.34
0.0152;6;3.4809;3.34
0.0152;6;3.4826;3.35
0.0152;6;3.4849;3.351
0.0152;6;3.4871;3.346
0.0152;6;3.49;3.337
0.0152;6;3.4944;3.318
0.0152;6;3.4973;3.327
0.0152;6;3.499;3.353
0.0152;6;3.5015;3.371
0.0152;6;3.5047;3.378
0.0152;6;3.5086;3.373
0.0152;6;3.5141;3.373
0.0152;6;3.5173;3.4
0.0152;6;3.5208;3.427
0.0152;6;3.5271;3.452
0.0152;6;3.533;3.478
0.0152;6;3.5359;3.493
0.0152;6;3.5444;3.516
0.0152;6;3.5485;3.53
0.0152;6;3.5599;3.555
0.0152;6;3.5643;3.564
0.0152;6;3.5713;3.578
0.0152;6;3.5727;3.581
0.0152;6;3.5734;3.582
0.0152;6;3.577;3.588
0.0152;6;3.581;3.594
0.0152;6;3.5843;3.6
0.0152;6;3.5845;3.601
0.0152;6;3.5888;3.607
0.0152;6;3.5936;3.614
0.0152;6;3.5953;3.616
0.0152;6;3.5978;3.62
0.0152;6;3.6023;3.627
0.0152;6;3.6052;3.631
0.0152;6;3.6075;3.634
0.0152;6;3.6122;3.639
0.0152;6;3.6145;3.642
0.0152;6;3.6271;3.662
0.0152;6;3.6347;3.673
0.0152;6;3.6385;3.677
0.0152;6;3.6403;3.679
0.0152;6;3.6436;3.683
0.0152;6;3.6455;3.684
0.0152;6;3.6476;3.685
0.0152;6;3.6503;3.688
0.0152;6;3.6507;3.688
0.0152;6;3.6548;3.691
0.0152;6;3.6571;3.693
0.0152;6;3.6589;3.694
0.0152;6;3.6602;3.695
0.0152;6;3.6627;3.697
0.0152;6;3.6633;3.697
0.0152;6;3.6663;3.698
0.0152;6;3.6696;3.7
0.0152;6;3.6713;3.702
0.0152;6;3.6728;3.703
0.0152;6;3.6732;3.703
0.0152;6;3.6757;3.704
0.0152;6;3.6785;3.705
0.0152;6;3.6811;3.707
0.0152;6;3.683;3.707
0.0152;6;3.6836;3.708
0.0152;6;3.6839;3.708
0.0152;6;3.686;3.707
0.0152;6;3.6882;3.709
0.0152;6;3.6892;3.709
0.0152;6;3.6904;3.709
0.0152;6;3.6909;3.709
0.0152;6;3.6925;3.709
0.0152;6;3.6925;3.709
0.0152;6;3.6945;3.709
0.0152;6;3.6964;3.706
0.0152;6;3.6982;3.707
0.0152;6;3.6987;3.707
0.0152;6;3.7;3.706
0.0152;6;3.7018;3.704
0.0152;6;3.7035;3.704
0.0152;6;3.7038;3.704
0.0152;6;3.7051;3.702
0.0152;6;3.7067;3.699
0.0152;6;3.7083;3.699
0.0152;6;3.7088;3.698
0.0152;6;3.7099;3.694
0.0152;6;3.7114;3.693
0.0152;6;3.7121;3.692
0.0152;6;3.7129;3.689
0.0152;6;3.7144;3.686
0.0152;6;3.7159;3.683
0.0152;6;3.7189;3.675
0.0152;6;3.7215;3.672
0.0152;6;3.7255;3.657
0.0152;6;3.7309;3.637
0.0152;6;3.7319;3.633
0.0152;6;3.7322;3.632
0.0152;6;3.7353;3.611
0.0152;6;3.7399;3.579
0.0152;6;3.7468;3.525
0.0152;6;3.751;3.489
0.0152;6;3.7545;3.46
0.0152;6;3.7594;3.421
0.0152;6;3.7649;3.384
0.0152;6;3.7695;3.36
0.0152;6;3.773;3.343
0.0152;6;3.7817;3.314
0.0152;6;3.7891;3.298
0.0152;6;3.7979;3.289
0.0152;6;3.8028;3.289
0.0152;6;3.8079;3.29
0.0152;6;3.8178;3.297
0.0152;6;3.8278;3.308
0.0152;6;3.8377;3.32
0.0152;6;3.8476;3.333
0.0152;6;3.8575;3.346
0.0152;6;3.8675;3.359
0.0152;6;3.8775;3.373
0.0152;6;3.8874;3.387
0.0152;6;3.8891;3.39
0.0152;6;3.8981;3.403
0.0152;6;3.908;3.418
0.0152;6;3.9178;3.433
0.0152;6;3.9276;3.448
0.0152;6;3.9375;3.465
0.0152;6;3.9474;3.481
0.0152;6;3.9573;3.498
0.0152;6;3.9705;3.521
0.0152;6;3.9837;3.546
0.0152;6;3.997;3.571
0.0152;6;4.0082;3.593
0.0152;6;4.0175;3.611
0.0152;6;4.0307;3.639
0.0152;6;4.0439;3.667
0.0152;6;4.0572;3.696
0.0152;6;4.0705;3.727
0.0152;6;4.0839;3.758
